3080	3	0
0.95	0.192857	0.00011364	
0.97	0.192857	0.00011364	
0.99	0.192857	0.00011364	
1.01	0.192857	0.00011364	
1.03	0.192857	0.00011364	
1.05	0.192857	0.00011364	
1.07	0.192857	0.00011364	
1.09	0.192857	0.00011364	
0.01	0.207143	0.0001511	
0.03	0.207143	0.0001511	
0.05	0.207143	0.0001511	
0.07	0.207143	0.0001511	
0.09	0.207143	0.0001511	
0.11	0.207143	0.0001511	
0.13	0.207143	0.0001511	
0.15	0.207143	0.0001511	
0.17	0.207143	0.0001511	
0.19	0.207143	0.0001511	
0.21	0.207143	0.0001511	
0.23	0.207143	0.0001511	
0.25	0.207143	0.0001511	
0.27	0.207143	0.0001511	
0.29	0.207143	0.0001511	
0.31	0.207143	0.0001511	
0.33	0.207143	0.0001511	
0.35	0.207143	0.0001511	
0.37	0.207143	0.0001511	
0.39	0.207143	0.0001511	
0.41	0.207143	0.0001511	
0.43	0.207143	0.0001511	
0.45	0.207143	0.0001511	
0.47	0.207143	0.0001511	
0.49	0.207143	0.0001511	
0.51	0.207143	0.00011364	
0.53	0.207143	0.00011364	
0.55	0.207143	0.00011364	
0.57	0.207143	0.00011364	
0.59	0.207143	0.00011364	
0.61	0.207143	0.00011364	
0.63	0.207143	0.00011364	
0.65	0.207143	0.00011364	
0.67	0.207143	0.00011364	
0.69	0.207143	0.00011364	
0.71	0.207143	0.00011364	
0.73	0.207143	0.00011364	
0.75	0.207143	0.00011364	
0.77	0.207143	0.00011364	
0.79	0.207143	0.00011364	
0.81	0.207143	0.00011364	
0.83	0.207143	0.00011364	
0.85	0.207143	0.00011364	
0.87	0.207143	0.00011364	
0.89	0.207143	0.00011364	
0.91	0.207143	0.00011364	
0.93	0.207143	0.00011364	
0.95	0.207143	0.00011364	
0.97	0.207143	0.00011364	
0.99	0.207143	0.00011364	
1.01	0.207143	0.00011364	
1.03	0.207143	0.00011364	
1.05	0.207143	0.00011364	
1.07	0.207143	0.00011364	
1.09	0.207143	0.00011364	
0.01	0.221429	0.0001511	
0.03	0.221429	0.0001511	
0.05	0.221429	0.0001511	
0.07	0.221429	0.0001511	
0.09	0.221429	0.0001511	
0.11	0.221429	0.0001511	
0.13	0.221429	0.0001511	
0.15	0.221429	0.0001511	
0.17	0.221429	0.0001511	
0.19	0.221429	0.0001511	
0.21	0.221429	0.0001511	
0.23	0.221429	0.0001511	
0.25	0.221429	0.0001511	
0.27	0.221429	0.0001511	
0.29	0.221429	0.0001511	
0.31	0.221429	0.0001511	
0.33	0.221429	0.0001511	
0.35	0.221429	0.0001511	
0.37	0.221429	0.0001511	
0.39	0.221429	0.0001511	
0.41	0.221429	0.0001511	
0.43	0.221429	0.0001511	
0.45	0.221429	0.0001511	
0.47	0.221429	0.0001511	
0.49	0.221429	0.0001511	
0.51	0.221429	0.00011364	
0.53	0.221429	0.00011364	
0.55	0.221429	0.00011364	
0.57	0.221429	0.00011364	
0.59	0.221429	0.00011364	
0.61	0.221429	0.00011364	
0.63	0.221429	0.00011364	
0.65	0.221429	0.00011364	
0.67	0.221429	0.00011364	
