4141	0	2	2	
4241	0	2	0	
4242	0	2	2	
4342	0	2	0	
4343	0	2	2	
4443	0	2	0	
4444	0	2	2	
4544	0	2	0	
4545	0	2	2	
4645	0	2	0	
4646	0	2	2	
4746	0	2	0	
4747	0	2	2	
4847	0	2	0	
4848	0	2	2	
4948	0	2	0	
4949	0	2	2	
5049	0	2	0	
5050	0	2	2	
5150	0	2	0	
5151	0	2	2	
5251	0	2	0	
5252	0	2	2	
5352	0	2	0	
5353	0	2	2	
5453	0	2	0	
5454	0	2	2	
5554	0	2	0	
5555	0	2	2	
5655	0	2	0	
5656	0	2	2	
5756	0	2	0	
5757	0	2	2	
5857	0	2	0	
5858	0	2	2	
5958	0	2	0	
5959	0	2	2	
6059	0	2	0	
6060	0	2	2	
6160	0	2	0	
6161	0	2	2	
6261	0	2	0	
6262	0	2	2	
6362	0	2	0	
6363	0	2	2	
6463	0	2	0	
6464	0	2	2	
6564	0	2	0	
6565	0	2	2	
6665	0	2	0	
6666	0	2	2	
6766	0	2	0	
6767	0	2	2	
6867	0	2	0	
6868	0	2	2	
6968	0	2	0	
6969	0	2	2	
7069	0	2	0	
7070	0	2	2	
7170	0	2	0	
7171	0	2	2	
7271	0	2	0	
7272	0	2	2	
7372	0	2	0	
7373	0	2	2	
7473	0	2	0	
7474	0	2	2	
7574	0	2	0	
7575	0	2	2	
7675	0	2	0	
7676	0	2	2	
7776	0	2	0	
7777	0	2	2	
7877	0	2	0	
7878	0	2	2	
7978	0	2	0	
7979	0	2	2	
8079	0	2	0	
8080	0	2	2	
8180	0	2	0	
8181	0	2	2	
8281	0	2	0	
8282	0	2	2	
8382	0	2	0	
8383	0	2	2	
8483	0	2	0	
8484	0	2	2	
8584	0	2	0	
8585	0	2	2	
8685	0	2	0	
8686	0	2	2	
8786	0	2	0	
8787	0	2	2	
8887	0	2	0	
8888	0	2	2	
8988	0	2	0	
8989	0	2	2	
9089	0	2	0	
9090	0	2	2	
9190	0	2	0	
9191	0	2	2	
9291	0	2	0	
9292	0	2	2	
9392	0	2	0	
9393	0	2	2	
9493	0	2	0	
9494	0	2	2	
9594	0	2	0	
9595	0	2	2	
9695	0	2	0	
9696	0	2	2	
9796	0	2	0	
9797	0	2	2	
9897	0	2	0	
9898	0	2	2	
9998	0	2	0	
9999	1	2	1	
10000	1	2	1	
10001	1	2	1	
10002	1	2	1	
10003	1	2	1	
10004	1	2	1	
10005	1	2	1	
10006	1	2	1	
10007	1	2	1	
10008	1	2	1	
10009	1	2	1	
10010	1	2	1	
10011	1	2	1	
10012	1	2	1	
10013	1	2	1	
10014	1	2	1	
10015	1	2	1	
10016	1	2	1	
10017	1	2	1	
10018	1	2	1	
10019	1	2	1	
10020	1	2	1	
10021	1	2	1	
10022	1	2	1	
10023	1	2	1	
10024	1	2	1	
10025	1	2	1	
10026	1	2	1	
10027	1	2	1	
10028	1	2	1	
10029	1	2	1	
10030	1	2	1	
10031	1	2	1	
10032	1	2	1	
10033	1	2	1	
10034	1	2	1	
10035	1	2	1	
10036	1	2	1	
10037	1	2	1	
10038	1	2	1	
10039	1	2	1	
10040	1	2	1	
10041	1	2	1	
10042	1	2	1	
10043	1	2	1	
10044	1	2	1	
10045	1	2	1	
10046	1	2	1	
10047	1	2	1	
10048	1	2	1	
10049	1	2	1	
10050	1	2	1	
10051	1	2	1	
10052	1	2	1	
10053	1	2	1	
10054	1	2	1	
10055	1	2	1	
10056	1	2	1	
10057	1	2	1	
10058	1	2	1	
10059	1	2	1	
10060	1	2	1	
10061	1	2	1	
10062	1	2	1	
10063	1	2	1	
10064	1	2	1	
10065	1	2	1	
10066	1	2	1	
10067	1	2	1	
10068	1	2	1	
10069	1	2	1	
10070	1	2	1	
10071	1	2	1	
10072	1	2	1	
10073	1	2	1	
10074	1	2	1	
10075	1	2	1	
10076	1	2	1	
10077	1	2	1	
10078	1	2	1	
10079	1	2	1	
10080	1	2	1	
10081	1	2	1	
10082	1	2	1	
10083	1	2	1	
10084	1	2	1	
10085	1	2	1	
10086	1	2	1	
10087	1	2	1	
10088	1	2	1	
10089	1	2	1	
10090	1	2	1	
10091	1	2	1	
10092	1	2	1	
10093	1	2	1	
10094	1	2	1	
10095	1	2	1	
10096	1	2	1	
10097	1	2	1	
10098	1	2	1	
10099	1	2	1	

