3100	0	3	2	
3199	0	3	0	
3200	0	3	2	
3299	0	3	0	
3300	0	3	2	
3399	0	3	0	
3400	0	3	2	
3499	0	3	0	
3500	0	3	2	
3599	0	3	0	
3600	0	3	2	
3699	0	3	0	
3700	0	3	2	
3799	0	3	0	
3800	0	3	2	
3899	0	3	0	
3900	0	3	2	
3999	0	3	0	
4000	0	3	2	
4099	0	3	0	
4100	0	3	2	
4199	0	3	0	
4200	0	3	2	
4299	0	3	0	
4300	0	3	2	
4399	0	3	0	
4400	0	3	2	
4499	0	3	0	
4500	0	3	2	
4599	0	3	0	
4600	0	3	2	
4699	0	3	0	
4700	0	3	2	
4799	0	3	0	
4800	0	3	2	
4899	0	3	0	
4900	0	3	2	
4999	0	3	0	
5000	0	3	2	
5099	0	3	0	
5100	0	3	2	
5199	0	3	0	
5200	0	3	2	
5299	0	3	0	
5300	0	3	2	
5399	0	3	0	
5400	0	3	2	
5499	0	3	0	
5500	0	3	2	
5599	0	3	0	
5600	0	3	2	
5699	0	3	0	
5700	0	3	2	
5799	0	3	0	
5800	0	3	2	
5899	0	3	0	
5900	0	3	2	
5999	0	3	0	
6000	0	3	2	
6099	0	3	0	
6100	0	3	2	
6199	0	3	0	
6200	0	3	2	
6299	0	3	0	
6300	0	3	2	
6399	0	3	0	
6400	0	3	2	
6499	0	3	0	
6500	0	3	2	
6599	0	3	0	
6600	0	3	2	
6699	0	3	0	
6700	0	3	2	
6799	0	3	0	
6800	0	3	2	
6899	0	3	0	
6900	0	3	2	
6999	0	3	0	
7000	0	3	2	
7099	0	3	0	
7100	0	3	2	
7199	0	3	0	
7200	0	3	2	
7299	0	3	0	
7300	0	3	2	
7399	0	3	0	
7400	0	3	2	
7499	0	3	0	
7500	0	3	2	
7599	0	3	0	
7600	0	3	2	
7699	0	3	0	
7700	0	3	2	
7799	0	3	0	
7800	0	3	2	
7899	0	3	0	
7900	0	3	2	
7999	0	3	0	
8000	0	3	2	
8099	0	3	0	
8100	0	3	2	
8199	0	3	0	
8200	0	3	2	
8299	0	3	0	
8300	0	3	2	
8399	0	3	0	
8400	0	3	2	
8499	0	3	0	
8500	0	3	2	
8599	0	3	0	
8600	0	3	2	
8699	0	3	0	
8700	0	3	2	
8799	0	3	0	
8800	0	3	2	
8899	0	3	0	
8900	0	3	2	
8999	0	3	0	
9000	0	3	2	
9099	0	3	0	
9100	0	3	2	
9199	0	3	0	
9200	0	3	2	
9299	0	3	0	
9300	0	3	2	
9399	0	3	0	
9400	0	3	2	
9499	0	3	0	
9500	0	3	2	
9599	0	3	0	
9600	0	3	2	
9699	0	3	0	
9700	0	3	2	
9799	0	3	0	
9800	0	3	2	
9899	0	3	0	
9900	0	3	2	
